figure_id,path,source_type,used_in_report,used_in_slides,caption_cn,notes
"F014","reports/final_defense/assets/gru_sequence/xjtu_early_gru_test_class_distribution.png","gru_sequence","yes","optional","XJTU-SY GRU EarlyFault 类别分布","辅助解释类别比例"
"F015","reports/sequence_baseline_results/phm_official_rul_linear_gru_sequence_compact_non_label_source_200ep/figures/test_true_pred_by_bearing.png","gru_sequence","yes","yes","PHM2012 GRU RUL 分轴承预测曲线","RUL 主结果图"
"F016","reports/sequence_baseline_results/phm_official_rul_linear_gru_sequence_compact_non_label_source_200ep/figures/test_pred_vs_true.png","gru_sequence","yes","optional","PHM2012 GRU RUL 预测值与真实值散点图","RUL 主结果图"
"F017","reports/sequence_baseline_results/phm_official_early_gru_sequence_compact_non_label_source_200ep/figures/test_confusion_matrix.png","gru_sequence","yes","yes","PHM2012 GRU EarlyFault 混淆矩阵","分类主结果图"
"F018","reports/non_mlp_baseline_results/y02_xjtu_rul_random_forest_full_manual_basic_no_reference/figures/test_pred_vs_true.png","non_mlp_baseline","yes","optional","XJTU-SY RandomForest RUL 对照散点图","对照模型实验"
"F019","reports/non_mlp_baseline_results/y02_xjtu_rul_random_forest_full_manual_basic_no_reference/figures/feature_importance_top10.png","non_mlp_baseline","yes","optional","XJTU-SY RandomForest RUL 特征重要性","用于解释表格模型"
"F020","reports/non_mlp_baseline_results/y05_xjtu_early_xgboost_compact_non_label_source/figures/test_confusion_matrix.png","non_mlp_baseline","yes","optional","XJTU-SY XGBoost EarlyFault 混淆矩阵","对照模型实验"
"F021","reports/non_mlp_baseline_results/y08_phm_rul_random_forest_compact_non_label_source/figures/test_pred_vs_true.png","non_mlp_baseline","yes","optional","PHM2012 RandomForest RUL 对照散点图","对照模型实验"
"F022","reports/non_mlp_baseline_results/y12_phm_early_random_forest_compact_non_label_source/figures/test_confusion_matrix.png","non_mlp_baseline","yes","optional","PHM2012 RandomForest EarlyFault 混淆矩阵","对照模型实验"
"F023","reports/final_defense/assets/prediction_audit/xjtu_rul_mlp_test_true_pred_by_bearing.png","prediction_audit","appendix","no","XJTU-SY 早期 MLP RUL 分轴承排查图","只作为质量排查证据"
"F024","reports/prediction_audit/figures/y02_xjtu_rul_random_forest_full_manual_basic_no_reference_test_true_pred_by_bearing.png","prediction_audit","appendix","no","XJTU-SY RandomForest RUL 分轴承排查图","只作为质量排查证据"
"F025","reports/prediction_audit/figures/y08_phm_rul_random_forest_compact_non_label_source_test_true_pred_by_bearing.png","prediction_audit","appendix","no","PHM2012 RandomForest RUL 分轴承排查图","只作为质量排查证据"
"F026","reports/final_defense/assets/paper_reproduction/phm2012_rul_prediction_by_bearing.png","paper_reproduction","yes","yes","PHM2012 CAM-LSTM 复现模型分轴承预测曲线","论文复现实验"
"F027","reports/final_defense/assets/paper_reproduction/phm2012_rul_prediction_curve.png","paper_reproduction","yes","optional","PHM2012 CAM-LSTM 复现模型预测曲线","论文复现实验"
"F028","reports/final_defense/assets/paper_reproduction/xjtu_fault_confusion_matrix.png","paper_reproduction","yes","yes","XJTU-SY 故障诊断复现模型混淆矩阵","论文复现实验"
"F029","reports/final_defense/assets/paper_reproduction/rul_model_architecture.png","paper_reproduction","yes","yes","RUL 复现模型结构图","论文复现实验"
"F030","reports/final_defense/assets/paper_reproduction/fault_model_architecture.png","paper_reproduction","yes","yes","故障诊断复现模型结构图","论文复现实验"
"F031","reports/demo_videos/screenshots/rul_training_process.png","demo_video","appendix","yes","RUL 加速训练过程截图","系统演示"
"F032","reports/demo_videos/screenshots/rul_final_figures.png","demo_video","appendix","yes","RUL 演示视频结果图截图","系统演示"
"F033","reports/demo_videos/screenshots/early_training_process.png","demo_video","appendix","yes","EarlyFault 加速训练过程截图","系统演示"
"F034","reports/demo_videos/screenshots/early_final_figures.png","demo_video","appendix","yes","EarlyFault 演示视频结果图截图","系统演示"
"V001","reports/demo_videos/video/demo_xjtu_rul_gru_50ep_accelerated.mp4","demo_video","appendix","yes","XJTU-SY RUL GRU 加速训练视频","50ep 过程演示"
"V002","reports/demo_videos/video/demo_xjtu_early_gru_50ep_accelerated.mp4","demo_video","appendix","yes","XJTU-SY EarlyFault GRU 加速训练视频","50ep 过程演示"
