feature,feature_family,physical_meaning,rul_score,health_score,early_fault_score,fault_type_score,overall_score,recommended_for,why,caveat,is_label_source,label_source_warning,example_plot
v__time__clearance_factor,time_domain,Sharp impulse sensitivity.,0.19797711974877708,0.08475031655368204,0.09776134922618315,0.0,0.09512219638216057,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/v__time__clearance_factor.png
v__time__impulse_factor,time_domain,Peak shock relative to mean absolute level.,0.19640641864769803,0.0793960226236953,0.090601168957966,0.0,0.09160090255733983,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/v__time__impulse_factor.png
h__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.1880709073447627,0.0057585802667556385,0.1662566590018465,0.0,0.0900215366533412,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__mean.png
v__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.18164566763834383,0.013545995388229993,0.15813439010787195,0.0,0.08833151328361144,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__mean.png
v__time__crest_factor,time_domain,Peak shock relative to RMS level.,0.19411537646051286,0.05520328037325853,0.07589316516217659,0.0,0.081302955498987,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/v__time__crest_factor.png
mag__time__clearance_factor,time_domain,Sharp impulse sensitivity.,0.178378463497194,0.04987399145609294,0.07705086932588265,0.0,0.0763258310697924,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__clearance_factor.png
mag__time__impulse_factor,time_domain,Peak shock relative to mean absolute level.,0.17594213468026365,0.04397943757863163,0.07101246059353007,0.0,0.07273350821310634,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__impulse_factor.png
mag__spectral__peak_frequency,spectral,Dominant frequency location.,0.1463599624343436,0.1276247596263701,0.005081077768309153,0.0,0.0697664499572557,,"highest relative score is for RUL, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/mag__spectral__peak_frequency.png
h__time__impulse_factor,time_domain,Peak shock relative to mean absolute level.,0.17378058136261743,0.019196077881450443,0.08528005156208242,0.0,0.06956417770153757,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__impulse_factor.png
h__time__clearance_factor,time_domain,Sharp impulse sensitivity.,0.17485155600082442,0.018012013258337036,0.08322366678811954,0.0,0.06902180901182026,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__clearance_factor.png
h__time__crest_factor,time_domain,Peak shock relative to RMS level.,0.16845414266640574,0.017483675672563422,0.08938547507925725,0.0,0.0688308233545566,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__crest_factor.png
mag__time__crest_factor,time_domain,Peak shock relative to RMS level.,0.17084611833680663,0.03823483519607612,0.057337418142255236,0.0,0.0666045929187845,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__crest_factor.png
