experiment_id,dataset,split,task,feature_config,feature_subset,label_config,analysis_source,model_family,model_name,required,metric_primary,metric_secondary,status,notes
phm_official_early_mlp_compact_with_reference,phm2012,phm2012_official,EarlyFault,manual_basic,compact_with_reference,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Compact subset plus mag__time__rms reference feature
xjtu_cross_rul_mlp_full_manual_basic,xjtu_sy,xjtu_cross_condition,RUL,manual_basic,full_manual_basic,degradation_three_tasks,StepI,tabular_baseline,mlp,no,RMSE,MAE|MSE|PercentError,planned,Optional robustness run; includes mag__time__rms reference feature
xjtu_cross_rul_mlp_full_manual_basic_no_reference,xjtu_sy,xjtu_cross_condition,RUL,manual_basic,full_manual_basic_no_reference,degradation_three_tasks,StepI,tabular_baseline,mlp,no,RMSE,MAE|MSE|PercentError,planned,Optional robustness run; excludes mag__time__rms
xjtu_cross_rul_mlp_compact_non_label_source,xjtu_sy,xjtu_cross_condition,RUL,manual_basic,compact_non_label_source,degradation_three_tasks,StepI,tabular_baseline,mlp,no,RMSE,MAE|MSE|PercentError,planned,Optional robustness run for compact subset
xjtu_cross_rul_mlp_compact_with_reference,xjtu_sy,xjtu_cross_condition,RUL,manual_basic,compact_with_reference,degradation_three_tasks,StepI,tabular_baseline,mlp,no,RMSE,MAE|MSE|PercentError,planned,Optional robustness run with reference feature
xjtu_cross_health_mlp_full_manual_basic,xjtu_sy,xjtu_cross_condition,HealthState,manual_basic,full_manual_basic,degradation_three_tasks,StepI,tabular_baseline,mlp,no,WeightedF1,Accuracy|ConfusionMatrix,planned,Optional robustness run; includes mag__time__rms reference feature
xjtu_cross_health_mlp_full_manual_basic_no_reference,xjtu_sy,xjtu_cross_condition,HealthState,manual_basic,full_manual_basic_no_reference,degradation_three_tasks,StepI,tabular_baseline,mlp,no,WeightedF1,Accuracy|ConfusionMatrix,planned,Optional robustness run; excludes mag__time__rms
xjtu_cross_health_mlp_compact_non_label_source,xjtu_sy,xjtu_cross_condition,HealthState,manual_basic,compact_non_label_source,degradation_three_tasks,StepI,tabular_baseline,mlp,no,WeightedF1,Accuracy|ConfusionMatrix,planned,Optional robustness run for compact subset
xjtu_cross_health_mlp_compact_with_reference,xjtu_sy,xjtu_cross_condition,HealthState,manual_basic,compact_with_reference,degradation_three_tasks,StepI,tabular_baseline,mlp,no,WeightedF1,Accuracy|ConfusionMatrix,planned,Optional robustness run with reference feature
xjtu_cross_early_mlp_full_manual_basic,xjtu_sy,xjtu_cross_condition,EarlyFault,manual_basic,full_manual_basic,degradation_three_tasks,StepI,tabular_baseline,mlp,no,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Optional robustness run for condition-sensitive task; includes reference feature
xjtu_cross_early_mlp_full_manual_basic_no_reference,xjtu_sy,xjtu_cross_condition,EarlyFault,manual_basic,full_manual_basic_no_reference,degradation_three_tasks,StepI,tabular_baseline,mlp,no,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Optional robustness run for condition-sensitive task; excludes reference feature
xjtu_cross_early_mlp_compact_non_label_source,xjtu_sy,xjtu_cross_condition,EarlyFault,manual_basic,compact_non_label_source,degradation_three_tasks,StepI,tabular_baseline,mlp,no,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Optional compact robustness run for condition-sensitive task
xjtu_cross_early_mlp_compact_with_reference,xjtu_sy,xjtu_cross_condition,EarlyFault,manual_basic,compact_with_reference,degradation_three_tasks,StepI,tabular_baseline,mlp,no,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Optional compact robustness run with reference feature
