feature,feature_family,physical_meaning,rul_score,health_score,early_fault_score,fault_type_score,overall_score,recommended_for,why,caveat,is_label_source,label_source_warning,example_plot
h__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.4511693854270481,0.560192511212132,0.5225092939920749,0.0,0.3834677976578138,HealthState,separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__ptp.png
v__spectral__rms_frequency,spectral,RMS vibration energy/amplitude level.,0.34302913941753826,0.4039250962259492,0.7241506306528469,0.0,0.3677762165740836,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/v__spectral__rms_frequency.png
v__spectral__peak_frequency,spectral,Dominant frequency location.,0.29544635678525066,0.4285722679840791,0.7056698371202825,0.0,0.3574221154724031,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/v__spectral__peak_frequency.png
mag__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.35422184860043193,0.5811463670464327,0.4933286671296848,0.0,0.3571742206941374,HealthState,separates health-state label distributions,"Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/mag__spectral__entropy.png
mag__spectral__centroid,spectral,Spectral energy center shift.,0.36808879513237464,0.46946022206988763,0.572423356000537,0.0,0.3524930933006998,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/mag__spectral__centroid.png
mag__spectral__rms_frequency,spectral,RMS vibration energy/amplitude level.,0.356742834397265,0.4376962859922575,0.6130975057745611,0.0,0.3518841565410209,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/mag__spectral__rms_frequency.png
v__spectral__centroid,spectral,Spectral energy center shift.,0.32408444831537775,0.3673903132134544,0.6699240657809881,0.0,0.340349706827455,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/v__spectral__centroid.png
v__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.2828044638392101,0.2905868998304413,0.6870781780371635,0.0,0.31511738542670376,,"highest relative score is for EarlyFault, but it is outside the top recommendation band","Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/v__spectral__entropy.png
mag__spectral__bandwidth,spectral,Numerical feature extracted from the vibration snapshot.,0.28200144000676963,0.32661701500019724,0.6222466252728798,0.0,0.30771627006996166,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__spectral__bandwidth.png
h__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.3262405769443351,0.41525151014689526,0.3245952940770426,0.0,0.26652184529206824,,"highest relative score is for HealthState, but it is outside the top recommendation band","Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/h__spectral__entropy.png
mag__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.37972368065567486,0.3091465933158315,0.32208953868296714,0.0,0.25273995316361836,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__ptp.png
h__spectral__peak_frequency,spectral,Dominant frequency location.,0.29646650777471734,0.4120797380743178,0.21400858255344474,0.0,0.23063870710061996,,"highest relative score is for HealthState, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/h__spectral__peak_frequency.png
v__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.35409503520969243,0.1558782343508604,0.27405217574329843,0.0,0.1960063613259628,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__ptp.png
h__spectral__centroid,spectral,Spectral energy center shift.,0.30605992021919487,0.2964073258946312,0.16806846191482575,0.0,0.19263392700716295,,"highest relative score is for RUL, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/h__spectral__centroid.png
h__spectral__rms_frequency,spectral,RMS vibration energy/amplitude level.,0.25299836517844115,0.23137011091115406,0.28340868424199595,0.0,0.1919442900828978,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/h__spectral__rms_frequency.png
h__spectral__bandwidth,spectral,Numerical feature extracted from the vibration snapshot.,0.3172405643671076,0.1706616205055748,0.2452330924419236,0.0,0.1832838193286515,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__spectral__bandwidth.png
h__time__crest_factor,time_domain,Peak shock relative to RMS level.,0.16845072605068698,0.1563005644525475,0.3967209989926002,0.0,0.1803680723739587,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__crest_factor.png
h__time__impulse_factor,time_domain,Peak shock relative to mean absolute level.,0.17765665349290138,0.15846194465390534,0.3661180830792038,0.0,0.17555917030650264,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__impulse_factor.png
h__time__clearance_factor,time_domain,Sharp impulse sensitivity.,0.1831693276863537,0.16180543465896718,0.35038685417939663,0.0,0.17384040413117938,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__clearance_factor.png
mag__spectral__peak_frequency,spectral,Dominant frequency location.,0.1911995814550864,0.14720010237159722,0.33372141178165066,0.0,0.16803027390208358,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/mag__spectral__peak_frequency.png
mag__time__kurtosis,time_domain,Impulsive shock sensitivity and tail heaviness.,0.1762618997616225,0.1421722895144512,0.32223700587022364,0.0,0.16016779878657433,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__kurtosis.png
mag__time__crest_factor,time_domain,Peak shock relative to RMS level.,0.1724137390889419,0.12700686596313077,0.3388585097573055,0.0,0.15956977870234457,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__crest_factor.png
mag__time__skewness,time_domain,Numerical feature extracted from the vibration snapshot.,0.21518329943759928,0.1707187821180477,0.2494914477140901,0.0,0.15884838231743426,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__skewness.png
h__time__kurtosis,time_domain,Impulsive shock sensitivity and tail heaviness.,0.20038749629961278,0.14491524830874317,0.2669608261828167,0.0,0.15306589269779317,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__kurtosis.png
v__time__crest_factor,time_domain,Peak shock relative to RMS level.,0.1497329700073056,0.0833327593127037,0.37053648363911235,0.0,0.1509005532397804,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/v__time__crest_factor.png
mag__time__clearance_factor,time_domain,Sharp impulse sensitivity.,0.18745580743685442,0.12274027133166959,0.27103249566205556,0.0,0.1453071436076449,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__clearance_factor.png
mag__time__impulse_factor,time_domain,Peak shock relative to mean absolute level.,0.18160745548568957,0.10630446081407087,0.29244703282153917,0.0,0.1450897372803249,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__impulse_factor.png
v__time__impulse_factor,time_domain,Peak shock relative to mean absolute level.,0.14568115185368,0.07204995799682187,0.3362404241037204,0.0,0.13849288348855557,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/v__time__impulse_factor.png
v__time__clearance_factor,time_domain,Sharp impulse sensitivity.,0.14739894492227984,0.06551735771448199,0.32227986245789797,0.0,0.13379904127366493,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/v__time__clearance_factor.png
v__spectral__bandwidth,spectral,Numerical feature extracted from the vibration snapshot.,0.25238317348567396,0.1931770372025764,0.07583901682809441,0.0,0.1303498068790862,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__spectral__bandwidth.png
v__time__kurtosis,time_domain,Impulsive shock sensitivity and tail heaviness.,0.1708673404729683,0.08179411615395711,0.2430450418215498,0.0,0.1239266246121188,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/v__time__kurtosis.png
h__time__skewness,time_domain,Numerical feature extracted from the vibration snapshot.,0.17049403529101206,0.10737818743301461,0.2048372147785519,0.0,0.12067735937564464,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__skewness.png
v__time__skewness,time_domain,Numerical feature extracted from the vibration snapshot.,0.13549094305251258,0.014418470739178416,0.04415355275365109,0.0,0.04851574163633552,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__skewness.png
h__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.13947470774697301,0.007298013618625802,0.019982805403335448,0.0,0.041688881692233566,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__mean.png
v__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.14586417218054157,0.0,0.0002031979759233186,0.0,0.036516842539116225,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__mean.png
